vehicle_id,day,ts_ini,ts_end,cluster_ini,cluster_end
259,23.5268831019,0,1016500,1,184
309,4.52573012037,0,1017500,1,184
309,12.5185972963,0,1187100,1,184
309,17.525845037,0,1013600,1,184
309,30.5215224352,0,1013700,1,184
309,44.5250323518,0,1882400,1,184
309,46.5106240278,0,1226900,1,184
309,53.5235761667,0,1007900,1,184
309,82.4812154815,0,998900,1,184
309,94.4800235,0,991600,1,184
309,95.4806954722,0,1026600,1,184
309,100.48664613,0,1156000,1,184
309,103.451386944,0,1940500,1,184
309,109.47797338,0,1100700,1,184
309,114.481795324,0,1035800,1,184
309,116.479724167,0,1108500,1,184
309,129.47871888,0,1121900,1,184
309,142.482886519,0,1038400,1,184
309,143.518878806,0,960700,1,184
309,144.482822731,0,992900,1,184
309,145.479560898,0,870400,1,184
309,150.48384130600002,0,756400,1,184
323,9.50674764815,0,745900,1,184
323,15.5147612222,0,755300,1,184
323,16.5059575463,0,624800,1,184
323,30.5152231204,0,721600,1,184
323,31.5099113611,0,735800,1,184
323,32.6799249722,0,817300,1,184
323,36.5085540278,0,686400,1,184
323,43.5072848148,0,863900,1,184
323,45.5129324815,0,909100,1,184
323,51.506917638900006,0,686000,1,184
323,52.50981575,0,879800,1,184
323,71.4726091111,0,1405100,1,184
323,78.4730428796,0,862200,1,184
323,81.46540018520001,0,874600,1,184
323,82.4602037593,0,799400,1,184
323,87.4616344444,0,752200,1,184
323,89.47381068520001,0,704300,1,184
323,99.4706462222,0,881700,1,184
323,107.465912056,0,651400,1,184
323,115.481451815,0,817900,1,184
323,120.473729611,0,708700,1,184
323,122.463116639,0,801300,1,184
323,123.466159463,0,721500,1,184
323,124.461165028,0,973600,1,184
323,127.462749889,0,676300,1,184
323,134.464348639,0,696800,1,184
323,138.465017565,0,744800,1,184
547,87.5135958981,0,1036500,1,184
547,128.48433824100002,0,860900,1,184
155,53.9021949444,0,567000,144,11
282,96.9135868796,0,423700,144,11
289,102.831793537,0,534300,144,11
308,68.0887726852,0,454100,144,11
308,78.8781711852,0,523000,144,11
324,33.8162063148,0,574800,144,11
371,10.9724305556,0,475200,144,11
371,19.7672973426,0,461300,144,11
371,29.990363277800004,0,368700,144,11
371,131.875708444,0,447400,144,11
371,145.892307556,0,502000,144,11
386,28.8359813704,0,464000,144,11
488,73.7964223426,0,570200,144,11
529,121.873721833,0,860900,144,11
564,97.7803057963,0,369700,144,11
564,98.8329164815,0,429800,144,11
564,119.64050562,0,374700,144,11
564,140.729869213,0,402600,144,11
579,80.9251865463,0,439000,144,11
579,87.12010220370001,0,381500,144,11
609,41.0442942037,0,425600,144,11
208,21.6599610185,0,675100,1,173
208,42.6086097685,0,868100,1,173
208,85.4758369167,0,884400,1,173
208,110.485323963,0,781600,1,173
208,116.473591824,0,804500,1,173
208,117.46876525,0,836700,1,173
208,119.658022269,0,840800,1,173
208,121.467502574,0,769700,1,173
208,122.473354917,0,787800,1,173
208,123.476113722,0,936300,1,173
208,124.480100954,0,1503900,1,173
208,139.525684685,0,747900,1,173
208,145.475959972,0,682900,1,173
259,11.5957965741,0,694000,1,173
259,39.527534592600006,0,952700,1,173
259,74.5115591389,0,839900,1,173
259,88.51039346299999,0,745200,1,173
259,110.499095843,0,735800,1,173
259,116.488011852,0,793600,1,173
259,136.49214587,0,794300,1,173
259,137.489318065,0,822700,1,173
154,122.693482269,0,437600,11,22
155,2.55653025926,0,375000,11,22
155,34.5967756852,0,346700,11,22
155,36.5541068704,0,507700,11,22
155,48.5970786481,0,401900,11,22
155,79.5157604722,0,367300,11,22
155,89.6358174074,0,326200,11,22
185,132.71908137,0,464800,11,22
213,8.558794,0,457600,11,22
213,139.562904065,0,477600,11,22
213,145.519677778,0,554800,11,22
251,56.85412475930001,0,484400,11,22
304,149.874868935,0,455700,11,22
371,61.595688287,0,422600,11,22
371,71.5640574815,0,755500,11,22
371,117.557878602,0,412800,11,22
375,28.6312105926,0,298600,11,22
402,60.87041975,0,369800,11,22
437,23.8201758518,0,434600,11,22
437,66.8675776944,0,1263400,11,22
460,41.6261595,0,579200,11,22
460,55.642569555600005,0,419200,11,22
507,143.93944060200002,0,330600,11,22
528,37.923066287,0,399700,11,22
528,122.808089528,0,1668300,11,22
528,129.672677926,0,526000,11,22
528,144.789521565,0,253700,11,22
528,148.76696490700002,0,327500,11,22
535,121.770002278,0,257000,11,22
550,28.6642661481,0,293500,11,22
575,10.7626300556,0,352300,11,22
575,96.6497323056,0,325900,11,22
599,19.5285796204,0,656700,11,22
599,32.5426859907,0,575100,11,22
599,36.5377384259,0,694700,11,22
599,38.5497663704,0,473600,11,22
599,40.5320951296,0,761700,11,22
599,44.4485578519,0,435300,11,22
599,50.54642475,0,577500,11,22
148,71.4593025463,0,663600,29,184
148,106.456214907,0,501800,29,184
286,35.7674487963,0,913500,29,184
286,81.0335709722,0,665600,29,184
286,96.0101835463,0,583100,29,184
286,133.674457361,0,503500,29,184
371,109.846349056,0,481900,29,184
411,119.463075287,0,440200,29,184
436,12.5802387222,0,626400,29,184
436,15.5572418796,0,564900,29,184
436,66.5223576389,0,529200,29,184
436,71.5280882778,0,1312400,29,184
436,72.5212404444,0,825100,29,184
436,88.51661656479999,0,722600,29,184
436,100.517382056,0,1067400,29,184
436,137.509800102,0,617100,29,184
436,138.511615759,0,688000,29,184
484,51.4960710278,0,673700,29,184
484,110.444834972,0,502200,29,184
484,137.460409463,0,473900,29,184
604,80.522977713,0,602800,29,184
609,94.8874974815,0,514400,29,184
609,139.416898519,0,354400,29,184
202,29.5940603889,0,494700,29,185
283,4.74285174074,0,485200,29,185
283,71.7479452685,0,522100,29,185
283,73.6566436111,0,518000,29,185
283,75.7272293519,0,480300,29,185
283,85.695857213,0,475800,29,185
283,87.7664663611,0,447500,29,185
283,99.5363427778,0,749900,29,185
283,100.541394806,0,858500,29,185
283,130.706299398,0,458500,29,185
283,136.60076058299998,0,449500,29,185
283,142.952709972,0,394500,29,185
283,144.576582944,0,378500,29,185
283,150.773101648,0,517800,29,185
283,152.73874763,0,444900,29,185
304,143.897755917,0,534500,29,185
436,16.5579816296,0,523000,29,185
436,150.523326241,0,484600,29,185
487,129.481198287,0,595600,29,185
604,107.487336454,0,787800,29,185
609,44.5148035,0,927600,29,185
